"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2016-09-17 19:23:19 +02:00"

Year,"Country / territory of asylum/residence",Origin,"Refugees (incl. refugee-like situations)"
2010,Aruba,Colombia,
2010,Afghanistan,Afghanistan,
2010,Afghanistan,"Iran (Islamic Rep. of)",30
2010,Afghanistan,Iraq,6
2010,Afghanistan,Pakistan,6398
2010,Angola,Burundi,14
2010,Angola,"Burkina Faso",
2010,Angola,"Central African Rep.",6
2010,Angola,"Côte d'Ivoire",211
2010,Angola,Cameroon,
2010,Angola,"Dem. Rep. of the Congo",13648
2010,Angola,Congo,45
2010,Angola,Cuba,2
2010,Angola,Djibouti,
2010,Angola,Algeria,1
2010,Angola,Eritrea,6
2010,Angola,"Western Sahara",5
2010,Angola,Ethiopia,
2010,Angola,Guinea,36
2010,Angola,Gambia,
2010,Angola,Guinea-Bissau,2
2010,Angola,Haiti,1
2010,Angola,Iraq,2
2010,Angola,"Rep. of Korea",
2010,Angola,Liberia,75
2010,Angola,Mauritania,83
2010,Angola,Nigeria,
2010,Angola,Rwanda,444
2010,Angola,Sudan,159
2010,Angola,Senegal,
2010,Angola,"Sierra Leone",219
2010,Angola,Somalia,37
2010,Angola,Chad,148
2010,Angola,Togo,
2010,Angola,"United Rep. of Tanzania",6
2010,Angola,Uganda,2
2010,Angola,Various/Unknown,
2010,Angola,"South Africa",2
2010,Angola,Zambia,1
2010,Angola,Zimbabwe,
2010,Albania,China,6
2010,Albania,"Czech Rep.",2
2010,Albania,Egypt,3
2010,Albania,"Iran (Islamic Rep. of)",1
2010,Albania,Iraq,5
2010,Albania,Libya,1
2010,Albania,"The former Yugoslav Republic of Macedonia",
2010,Albania,Montenegro,1
2010,Albania,Palestinian,3
2010,Albania,"Serbia and Kosovo (S/RES/1244 (1999))",49
2010,Albania,Tunisia,1
2010,Albania,Turkey,3
2010,Albania,Uzbekistan,1
2010,"United Arab Emirates",Afghanistan,4
2010,"United Arab Emirates",Eritrea,8
2010,"United Arab Emirates",Ethiopia,
2010,"United Arab Emirates","Iran (Islamic Rep. of)",10
2010,"United Arab Emirates",Iraq,432
2010,"United Arab Emirates",Pakistan,5
2010,"United Arab Emirates",Palestinian,11
2010,"United Arab Emirates",Sudan,14
2010,"United Arab Emirates",Somalia,19
2010,"United Arab Emirates","Syrian Arab Rep.",34
2010,"United Arab Emirates",Tunisia,
2010,"United Arab Emirates",Uganda,1
2010,Argentina,Afghanistan,
2010,Argentina,Angola,14
2010,Argentina,Albania,27
2010,Argentina,Armenia,122
2010,Argentina,Burundi,6
2010,Argentina,"Burkina Faso",
