Country,Refugees_2015,Key,Refugees_2010,Famine,Civil,government,"(millions of
US dollars)",Immigrants,Continent,Rain(ml),Murder Rate,Children_out_of_school,Poverty,Female,Male,Density(pop/mi),Population,Area(mi)
Afghanistan,257553.0,AFG,6434.0,1.0,0.0,Republic,19199.0,"105,090",Asia,327.0,3.4,122.81,36,49.3%,50.7%,77.0,23700715.0,308642.0
Angola,15537.0,AGO,15155.0,0.0,0.0,Republic,102643.0,"87,436",Africa,1010.0,,25.42,40.5,50.4%,49.6%,36.0,258958.0,7172.0
Albania,79.0,ALB,76.0,0.0,0.0,Constitutional monarchy,11456.0," 57,616",Europe,1485.0,4.5,6.86,14.3,49.9%,50.1%,218.0,15184116.0,69898.0
United Arab Emirates,658.0,ARE,538.0,0.0,0.0,Republic,370293.0,"7,826,981",Asia,78.0,0.92,0.626,19.5,29.9%,70.1%,218.0,20121641.0,92043.0
Argentina,3142.0,ARG,3276.0,0.0,0.0,Constitutional monarchy,548055.0,"1,885,678",South America,591.0,5.5,0.938,30,51.1%,48.9%,19.2,4616000.0,240324.0
Armenia,19309.0,ARM,3296.0,0.0,0.0,Republic,10561.0,"317,001",Europe,562.0,2.5,2.78,35.8,48.6%,51.4%,245.0,31347000.0,127724.0
Antarctica,,ATA,,,,,,,,,,,,,,,,
French Southern and Antarctic Lands,,ATF,,,,,,,,,,,,,,,,
Australia,36827.0,AUS,21805.0,0.0,0.0,Republic,1339539.0," 6,763,663",Oceania,534.0,1.3,3.06,,50.2%,49.8%,1318.875,21477896.0,132141.5
Austria,72158.0,AUT,42630.0,0.0,0.0,Constitutional monarchy,374056.0," 1,492,374",Europe,1110.0,0.55,3.01,6.2,51.2%,48.8%,236.9,91692318.0,387048.0
Azerbaijan,1269.0,AZE,1891.0,0.0,0.0,Constitutional monarchy,53047.0,"323,843",Europe,447.0,2,7.01,6,50.3%,49.7%,249.0,71293.0,285.0
Burundi,53356.0,BDI,29365.0,1.0,0.0,Republic,3085.0,"254,477",Africa,1274.0,37,8.79,68,50.6%,49.4%,847.0,821136.0,970.0
Belgium,35267.0,BEL,17892.0,0.0,0.0,Republic,454039.0," 1,387,940",Europe,847.0,1.82,0.618,15.2,50.9%,49.1%,764.0,159358.0,209.0
Benin,521.0,BEN,7139.0,0.0,0.0,Republic,8476.0,"234,241",Africa,1039.0,14,8.27,37.4,50.2%,49.8%,210.0,47251449.0,224647.0
Burkina Faso,34012.0,BFA,531.0,0.0,0.0,Constitutional monarchy,11099.0,"696,983",,748.0,0.5,55.71,46.7,50.3%,49.7%,135.0,6333000.0,46757.0
