Country,Key,Continent,Refugees_2010,Refugees_2015,Murder Rate,Children_out_of_school,Government,GDP($ in million),Immigrants,Rain(ml),Density(pop/mi),Population,Area(mi),Famine,Female,Male,Civil,Poverty
Afghanistan,AFG,Asia,6434.0,257553.0,3.4,122.81,Republic,19199.0,105090.0,327.0,77.0,23700715.0,308642.0,1.0,49.3,50.7,0.0,36.0
Angola,AGO,Africa,15155.0,15537.0,9.15748091603,25.42,Republic,102643.0,87436.0,1010.0,36.0,258958.0,7172.0,0.0,50.4,49.6,0.0,40.5
Albania,ALB,Europe,76.0,79.0,4.5,6.86,Constitutional monarchy,11456.0,57616.0,1485.0,218.0,15184116.0,69898.0,0.0,49.9,50.1,0.0,14.3
United Arab Emirates,ARE,Asia,538.0,658.0,0.92,0.626,Republic,370293.0,7826981.0,78.0,218.0,20121641.0,92043.0,0.0,29.9,70.1,0.0,19.5
Argentina,ARG,South America,3276.0,3142.0,5.5,0.938,Constitutional monarchy,548055.0,1885678.0,591.0,19.2,4616000.0,240324.0,0.0,51.1,48.9,0.0,30.0
Armenia,ARM,Europe,3296.0,19309.0,2.5,2.78,Republic,10561.0,317001.0,562.0,245.0,31347000.0,127724.0,0.0,48.6,51.4,0.0,35.8
French Southern and Antarctic Lands,ATF,,67165.3910256,101834.734177,9.15748091603,15.530863522,,452175.371069,1416737.33537,1120.73006135,548.838806151,33117866.4177,272878.705267,0.0,49.9493902439,50.0506097561,0.0,29.8166666667
Australia,AUS,Oceania,21805.0,36827.0,1.3,3.06,Republic,1339539.0,6763663.0,534.0,1318.875,21477896.0,132141.5,0.0,50.2,49.8,0.0,29.8166666667
Austria,AUT,Europe,42630.0,72158.0,0.55,3.01,Constitutional monarchy,374056.0,1492374.0,1110.0,236.9,91692318.0,387048.0,0.0,51.2,48.8,0.0,6.2
Azerbaijan,AZE,Europe,1891.0,1269.0,2.0,7.01,Constitutional monarchy,53047.0,323843.0,447.0,249.0,71293.0,285.0,0.0,50.3,49.7,0.0,6.0
Burundi,BDI,Africa,29365.0,53356.0,37.0,8.79,Republic,3085.0,254477.0,1274.0,847.0,821136.0,970.0,1.0,50.6,49.4,0.0,68.0
Belgium,BEL,Europe,17892.0,35267.0,1.82,0.618,Republic,454039.0,1387940.0,847.0,764.0,159358.0,209.0,0.0,50.9,49.1,0.0,15.2
Benin,BEN,Africa,7139.0,521.0,14.0,8.27,Republic,8476.0,234241.0,1039.0,210.0,47251449.0,224647.0,0.0,50.2,49.8,0.0,37.4
Burkina Faso,BFA,,531.0,34012.0,0.5,55.71,Constitutional monarchy,11099.0,696983.0,748.0,135.0,6333000.0,46757.0,0.0,50.3,49.7,0.0,46.7
Bangladesh,BGD,Asia,229253.0,231954.0,2.6,4.11,Republic,195079.0,1396514.0,2666.0,548.838806151,33117866.4177,272878.705267,1.0,49.4,50.6,0.0,31.5
Bulgaria,BGR,Europe,5530.0,16513.0,2.3,0.675,Republic,48953.0,102113.0,608.0,124.0,4922.0,39.0,0.0,51.4,48.6,0.0,21.8
The Bahamas,BHS,North America,28.0,7.0,9.15748091603,1.93,Republic,8884.0,59306.0,1292.0,45.0,11296000.0,248777.0,0.0,51.1,48.9,0.0,9.3
Bosnia and Herzegovina,BIH,Europe,7016.0,6789.0,1.8,15.530863522,Republic,15995.0,34803.0,1028.0,171.0,21133.0,124.0,0.0,51.2,48.8,0.0,18.6
Belarus,BLR,Europe,589.0,1800.0,5.6,2.14,Constitutional monarchy,54609.0,1082905.0,618.0,101.0,550.0,5.0,0.0,53.6,46.4,0.0,27.1
Belize,BLZ,North America,134.0,34.0,33.0,1.21,Constitutional monarchy,1763.0,50860.0,1705.0,16.2,1672000.0,103347.0,0.0,50.0,50.0,0.0,41.0
Bolivia,BOL,South America,695.0,752.0,11.0,23.62,Republic,33197.0,154330.0,1146.0,8.7,3461041.0,397955.0,0.0,50.1,49.9,0.0,45.0
Brazil,BRA,South America,4357.0,8643.0,22.0,33.84,Republic,1774725.0,1847274.0,1782.0,45.0,13092666.0,290585.0,0.0,50.8,49.2,0.0,21.4
Brunei,BRN,Asia,0.0,0.0,0.5,4.72,Republic,15492.0,206173.0,2722.0,161.0,122273473.0,759516.0,0.0,49.9493902439,50.0506097561,0.0,29.8166666667
Bhutan,BTN,Asia,67165.3910256,101834.734177,1.4,10.84,Republic,1962.0,50862.0,2200.0,42.0,38700000.0,919595.0,0.0,46.3,53.7,0.0,12.0
Botswana,BWA,Africa,2986.0,2122.0,12.0,25.54,Absolute monarchy,14391.0,146456.0,416.0,0.1,2655.0,23706.0,0.0,49.7,50.3,0.0,30.3
Central African Republic,CAF,Africa,21574.0,7322.0,30.0,42.79,Republic,1503.0,134237.0,1343.0,8.16,24231966.0,2969907.0,0.0,50.8,49.2,0.0,29.8166666667
Canada,CAN,North America,165549.0,135865.0,2.05,0.0615,Republic,1550537.0,7284069.0,537.0,3.08,56.0,18.0,0.0,50.4,49.6,0.0,9.4
Switzerland,CHE,Europe,48813.0,73261.0,0.71,0.443,Republic,664738.0,2438702.0,1537.0,448.0,1849000.0,4127.0,0.0,50.7,49.3,0.0,7.6
Chile,CHL,South America,1621.0,1825.0,1.7,5.99,Republic,240216.0,469400.0,1522.0,45.2,4720179.0,104428.0,0.0,50.5,49.5,0.0,15.1
China,CHN,Asia,300986.0,301039.0,1.2,14.19,Republic,10866444.0,848511.0,645.0,27803.5,67293100.0,105019.0,0.0,48.2,51.8,0.0,6.1
Ivory Coast,CIV,Africa,67165.3910256,101834.734177,9.15748091603,15.530863522,,452175.371069,2446171.0,1120.73006135,171.0,2302.0,14.0,0.0,49.9493902439,50.0506097561,0.0,29.8166666667
Cameroon,CMR,Africa,104275.0,342950.0,2.3,13.59,Republic,29198.0,291792.0,1604.0,91.0,20696070.0,226658.0,0.0,50.0,50.0,0.0,48.0
Democratic Republic of the Congo,COD,Africa,166336.0,383085.0,35.0,106.48,Republic,35238.0,446924.0,1543.0,72.0,6580800.0,91429.0,0.0,50.3,49.7,1.0,71.0
Republic of the Congo,COG,Africa,133112.0,44937.0,9.15748091603,12.97,Republic,8553.0,431470.0,1646.0,9.42,36320731.0,3855103.0,0.0,50.0,50.0,0.0,29.8166666667
Colombia,COL,South America,212.0,187.0,35.0,12.56,Republic,292080.0,129632.0,2612.0,85.5,324622261.0,3796742.0,0.0,50.8,49.2,0.0,32.7
Costa Rica,CRI,North America,19505.0,3588.0,11.0,4.95,Republic,51107.0,419572.0,2926.0,207.0,2062294.0,9928.0,0.0,49.2,50.8,0.0,24.8
Cuba,CUB,North America,411.0,295.0,5.5,2.49,Republic,77150.0,13336.0,1335.0,236.0,4667096.0,19730.0,0.0,49.7,50.3,0.0,29.8166666667
Northern Cyprus,-99,,67165.3910256,101834.734177,9.15748091603,15.530863522,,452175.371069,1416737.33537,1120.73006135,282.17,9733544.0,34495.0,0.0,49.9493902439,50.0506097561,0.0,29.8166666667
Cyprus,CYP,Europe,3394.0,7022.0,1.14,0.347,Constitutional monarchy,19320.0,207313.0,498.0,319.0,38496000.0,120728.0,0.0,48.9,51.1,0.0,29.8166666667
Czech Republic,CZE,Europe,2449.0,3580.0,1.94,15.530863522,Republic,181811.0,405093.0,677.0,282.0,6191155.0,21853.0,0.0,50.8,49.2,0.0,9.8
Germany,DEU,Europe,594269.0,316058.0,0.86,0.0884,Republic,3355772.0,12005690.0,700.0,505.0,86295.0,171.0,0.0,50.9,49.1,0.0,15.5
Djibouti,DJI,Africa,15104.0,19359.0,3.4,40.84,Republic,1589.0,123537.0,220.0,75.0,1313271.0,17505.0,1.0,49.8,50.2,0.0,18.8
Denmark,DNK,Europe,17922.0,27267.0,1.01,2.74,Republic,295164.0,572520.0,703.0,767.333333333,216796030.0,1107905.33333,0.0,50.4,49.6,0.0,13.4
Dominican Republic,DOM,North America,599.0,605.0,22.0,11.14,Republic,67103.0,415564.0,1410.0,484.0,187356.0,386.0,0.0,50.0,50.0,0.0,34.4
Algeria,DZA,Africa,94144.0,94161.0,0.64,0.658,Republic,166839.0,270407.0,89.0,34.0,4448000.0,132047.0,0.0,49.4,50.6,0.0,23.0
Ecuador,ECU,South America,121249.0,121451.0,19.0,3.83,Republic,100872.0,359315.0,2087.0,129.0,6071045.0,46884.0,0.0,50.0,50.0,0.0,25.6
Egypt,EGY,Africa,95056.0,212462.0,0.8,2.66,Republic,330779.0,297448.0,51.0,202.0,8721014.0,43433.0,0.0,49.8,50.2,0.0,22.0
Eritrea,ERI,Africa,4809.0,2549.0,16.0,84.48,Republic,452175.371069,15798.0,384.0,111.0,10628972.0,94926.0,1.0,50.1,49.9,0.0,50.0
Spain,ESP,Europe,3820.0,5737.0,0.9,0.164,Republic,1199057.0,5852953.0,636.0,215.0,87952991.0,410678.0,0.0,50.6,49.4,0.0,21.1
Estonia,EST,Europe,39.0,133.0,7.1,1.58,Republic,22691.0,202348.0,626.0,48.0,28502.0,599.0,0.0,53.6,46.4,0.0,17.5
Ethiopia,ETH,Africa,154295.0,736071.0,21.0,32.82,Republic,61537.0,718241.0,848.0,179.0,3531159.0,19772.0,1.0,50.0,50.0,0.0,39.0
Finland,FIN,Europe,8724.0,12622.0,2.5,1.12,Republic,229810.0,315881.0,536.0,39.5,16729500.0,212452.5,0.0,50.9,49.1,0.0,29.8166666667
Fiji,FJI,Oceania,1.0,7.0,2.8,1.31,Republic,4386.0,13751.0,2592.0,109.0,4076530.0,37466.0,0.0,49.1,50.9,0.0,31.0
Falkland Islands,FLK,,67165.3910256,101834.734177,9.15748091603,15.530863522,,452175.371069,1416737.33537,1120.73006135,548.838806151,33117866.4177,272878.705267,0.0,49.9493902439,50.0506097561,0.0,29.8166666667
France,FRA,Europe,200687.0,273092.0,1.31,0.613,Republic,2421682.0,7784418.0,867.0,943.375,12091534.0,1542.375,0.0,51.6,48.4,0.0,7.9
Gabon,GAB,Africa,9015.0,919.0,9.15748091603,12.29,Republic,14340.0,394953.0,1831.0,6.86,229040.0,33399.0,0.0,49.7,50.3,0.0,29.8166666667
United Kingdom,GBR,Europe,238150.0,122996.0,9.15748091603,0.212,Republic,2848755.0,8543120.0,1220.0,892.991538462,148888982.0,85540.1538462,0.0,50.7,49.3,0.0,16.2
Georgia,GEO,Europe,639.0,1963.0,7.6,0.836,Republic,13965.0,189893.0,1026.0,114.0,20386799.0,179943.0,0.0,52.9,47.1,0.0,9.2
Ghana,GHA,Africa,13828.0,17394.0,1.7,25.72,Constitutional monarchy,37864.0,358829.0,1187.0,238.0,10323000.0,43484.0,0.0,50.4,49.6,0.0,28.5
Guinea,GIN,Africa,14113.0,8825.0,9.15748091603,37.64,Republic,6699.0,378464.0,1651.0,91.0,4255.0,47.0,0.0,49.9,50.1,0.0,47.0
Guinea,GIN,Africa,14113.0,8825.0,9.15748091603,37.64,Republic,6699.0,378464.0,1651.0,91.0,4255.0,47.0,0.0,50.3,49.7,0.0,47.0
Guinea,GIN,Africa,14113.0,8825.0,9.15748091603,37.64,Republic,6699.0,18024.0,1651.0,91.0,4255.0,47.0,0.0,49.9,50.1,0.0,47.0
Guinea,GIN,Africa,14113.0,8825.0,9.15748091603,37.64,Republic,6699.0,18024.0,1651.0,91.0,4255.0,47.0,0.0,50.3,49.7,0.0,47.0
Gambia,GMB,Africa,8378.0,7851.0,9.15748091603,41.97,Republic,0.0,162919.0,836.0,363.0,13452.0,37.0,0.0,50.5,49.5,0.0,48.4
Guinea Bissau,GNB,,67165.3910256,101834.734177,9.15748091603,44.17,,452175.371069,1416737.33537,1577.0,548.838806151,33117866.4177,272878.705267,0.0,49.9493902439,50.0506097561,0.0,29.8166666667
Equatorial Guinea,GNQ,Africa,67165.3910256,101834.734177,19.0,52.09,Republic,9398.0,10141.0,2156.0,117.0,2944459.0,25212.0,0.0,48.8,51.2,0.0,29.8166666667
Greece,GRC,Europe,1444.0,30187.0,1.05,0.246,Republic,195212.0,1242514.0,652.0,192.0,42658149.0,222588.0,0.0,50.7,49.3,0.0,20.0
Greenland,GRL,,67165.3910256,101834.734177,9.15748091603,15.530863522,,2441.0,1416737.33537,1120.73006135,548.838806151,33117866.4177,272878.705267,0.0,49.9493902439,50.0506097561,0.0,9.2
Guatemala,GTM,North America,138.0,222.0,52.0,7.48,Republic,63794.0,72764.0,1996.0,306.0,53883.0,176.0,0.0,51.2,48.8,0.0,54.0
Guyana,GUY,South America,7.0,7.0,21.0,31.7,Absolute monarchy,3166.0,14770.0,2387.0,548.838806151,33117866.4177,272878.705267,0.0,49.2,50.8,0.0,35.0
Honduras,HND,North America,14.0,23.0,67.0,8.39,Republic,20152.0,27503.0,1976.0,176.0,2074000.0,11720.0,0.0,50.0,50.0,0.0,60.0
Croatia,HRV,Europe,936.0,473.0,1.67,0.865,Republic,48732.0,576883.0,1113.0,176.0,4757976.0,27133.0,0.0,51.8,48.2,0.0,21.1
Haiti,HTI,North America,0.0,0.0,21.0,69.64,Republic,8877.0,39529.0,1440.0,803.0,56086.0,70.0,0.0,50.6,49.4,0.0,80.0
Hungary,HUN,Europe,5414.0,4333.0,1.38,0.858,Republic,120687.0,449632.0,589.0,238.0,46439864.0,195364.0,0.0,52.5,47.5,0.0,14.0
Indonesia,IDN,Asia,811.0,5954.0,1.05,3.74,Republic,861934.0,295433.0,2702.0,548.838806151,33117866.4177,272878.705267,0.0,49.7,50.3,0.0,11.7
India,IND,Asia,184821.0,201364.0,2.8,1.14,Republic,2073543.0,5338486.0,1083.0,782.0,106405.0,136.0,0.0,48.3,51.7,0.0,29.8
Ireland,IRL,Europe,9107.0,6063.0,9.15748091603,1.28,Republic,238020.0,746260.0,1118.0,161.0,55155473.0,341217.0,0.0,50.4,49.6,0.0,5.5
Iran,IRN,Asia,1073366.0,979435.0,2.6,0.0454,Republic,425326.0,2649516.0,228.0,111.0,1547777.0,13948.0,0.0,49.7,50.3,0.0,18.7
Iraq,IRQ,Asia,34655.0,277697.0,9.15748091603,12.99,Republic,168607.0,95780.0,216.0,186.0,23202000.0,124680.0,0.0,49.4,50.6,1.0,25.0
Iceland,ISL,Europe,83.0,125.0,0.0,1.38,Republic,16598.0,37522.0,1940.0,4709.0,800.0,0.17,0.0,49.7,50.3,0.0,29.8166666667
Israel,ISR,Asia,25471.0,38463.0,2.1,2.65,Constitutional monarchy,296075.0,2046873.0,435.0,548.838806151,33117866.4177,272878.705267,0.0,50.5,49.5,0.0,21.0
Italy,ITA,Europe,56397.0,117986.0,1.1,0.421,Constitutional monarchy,1814763.0,5788875.0,832.0,425.0,76246.0,179.0,0.0,51.4,48.6,0.0,29.9
Jamaica,JAM,North America,21.0,8.0,60.0,11.09,Constitutional monarchy,14006.0,23167.0,2051.0,521.0,60665551.0,116336.0,0.0,50.8,49.2,0.0,16.5
Jordan,JOR,Asia,450915.0,664095.0,1.9,3.21,Republic,37517.0,2925780.0,111.0,179.0,30492800.0,171469.0,0.0,49.0,51.0,0.0,14.2
Japan,JPN,Asia,2586.0,2464.0,1.02,0.0322,Republic,4123258.0,2437169.0,1668.0,548.838806151,33117866.4177,272878.705267,0.0,51.3,48.7,0.0,16.0
