Country,Key,Continent,Refugees_2010,Refugees_2015,Murder Rate,Children_out_of_school,Government,GDP($ in million),Immigrants,Rain(ml),Density(pop/mi),Population,Area(mi),Famine,Female,Male,Civil,Poverty
Afghanistan,AFG,Asia,6434.0,257553.0,3.4,122.81,Republic,19199.0,105090.0,327.0,116.47,29117000.0,250001.05,1.0,49.3,50.7,0.0,36.0
Angola,AGO,Africa,15155.0,15537.0,9.15748091603,25.42,Republic,102643.0,87436.0,1010.0,39.46,18993000.0,481353.36,0.0,50.4,49.6,0.0,40.5
Albania,ALB,Europe,76.0,79.0,4.5,6.86,Republic,11456.0,57616.0,1485.0,287.85,3195000.0,11099.66,0.0,49.9,50.1,0.0,14.3
United Arab Emirates,ARE,Asia,538.0,658.0,0.92,0.626,Absolute monarchy,370293.0,7826981.0,78.0,147.09,4707000.0,32000.13,0.0,29.9,70.1,0.0,19.5
Argentina,ARG,South America,3276.0,3142.0,5.5,0.938,Republic,548055.0,1885678.0,591.0,37.93,40518951.0,1068301.76,0.0,51.1,48.9,0.0,30.0
Armenia,ARM,Europe,3296.0,19309.0,2.5,2.78,Republic,10561.0,317001.0,562.0,281.42,3238000.0,11505.84,0.0,48.6,51.4,0.0,35.8
Australia,AUS,Oceania,21805.0,36827.0,1.3,3.06,Constitutional monarchy,1339539.0,6763663.0,534.0,7.55,23480970.0,2967908.16,0.0,50.2,49.8,0.0,29.4510638298
Austria,AUT,Europe,42630.0,72158.0,0.55,3.01,Republic,374056.0,1492374.0,1110.0,258.6,8372930.0,32377.74,0.0,51.2,48.8,0.0,6.2
Azerbaijan,AZE,Europe,1891.0,1269.0,2.0,7.01,Republic,53047.0,323843.0,447.0,269.09,8997400.0,33436.43,0.0,50.3,49.7,0.0,6.0
Burundi,BDI,Africa,29365.0,53356.0,37.0,8.79,Republic,3085.0,254477.0,1274.0,792.82,8519000.0,10745.22,1.0,50.6,49.4,0.0,68.0
Belgium,BEL,Europe,17892.0,35267.0,1.82,0.618,Constitutional monarchy,454039.0,1387940.0,847.0,919.15,10827519.0,11779.97,0.0,50.9,49.1,0.0,15.2
Benin,BEN,Africa,7139.0,521.0,14.0,8.27,Republic,8476.0,234241.0,1039.0,211.85,9212000.0,43482.81,0.0,50.2,49.8,0.0,37.4
Bangladesh,BGD,Asia,229253.0,231954.0,2.6,4.11,Republic,195079.0,1396514.0,2666.0,2957.35,164425000.0,55598.69,1.0,49.4,50.6,0.0,31.5
Bulgaria,BGR,Europe,5530.0,16513.0,2.3,0.675,Republic,48953.0,102113.0,608.0,176.93,7576751.0,42822.57,0.0,51.4,48.6,0.0,21.8
The Bahamas,BHS,North America,28.0,7.0,9.15748091603,1.93,Constitutional monarchy,8884.0,59306.0,1292.0,64.29,346000.0,5382.26,0.0,51.1,48.9,0.0,9.3
Bosnia and Herzegovina,BIH,Europe,7016.0,6789.0,1.8,15.1056878205,Republic,15995.0,34803.0,1028.0,190.47,3760000.0,19741.01,0.0,51.2,48.8,0.0,18.6
Belarus,BLR,Europe,589.0,1800.0,5.6,2.14,Republic,54609.0,1082905.0,618.0,118.17,9471900.0,80154.78,0.0,53.6,46.4,0.0,27.1
Belize,BLZ,North America,134.0,34.0,33.0,1.21,Constitutional monarchy,1763.0,50860.0,1705.0,36.32,322100.0,8867.22,0.0,50.0,50.0,0.0,41.0
Bolivia,BOL,South America,695.0,752.0,11.0,23.62,Republic,33197.0,154330.0,1146.0,23.65,10031000.0,424163.94,0.0,50.1,49.9,0.0,45.0
Brazil,BRA,South America,4357.0,8643.0,22.0,33.84,Republic,1774725.0,1847274.0,1782.0,58.84,193364000.0,3286486.71,0.0,50.8,49.2,0.0,21.4
